date,type,campaign,ad_group,keyword,device,product_id,title,category,region,impressions,clicks,add_to_cart,purchases,revenue,ad_spend,roas,avg_rating,reviews_count,avg_cpc,avg_cpm,quality_score
2025-11-21,shopping,Shopping - Footwear,Kids Sneakers,,Tablet,P114,Kids Sneakers,Footwear,Delhi,2297,27,46,0,0,947.22,0.0,3.61,263.0,,,
2025-11-19,search,Search - Generic,Search Ads,buy stylish jacket,Mobile,,,,Bangalore,8887,208,0,0,0,124.8,0.0,,,0.6,14.04,4.0
2025-11-25,shopping,Shopping - Accessories,Sunglasses,,Tablet,P108,Sunglasses,Accessories,Bangalore,2391,68,25,4,9688,262.08,36.97,3.45,11.0,,,
2025-11-14,search,Search - Generic,Search Ads,buy laptop sleeve,Mobile,,,,Chennai,7951,421,0,2,2046,332.59,6.15,,,0.79,41.83,3.0
2025-11-06,search,Search - Generic,Search Ads,buy thermal socks,Tablet,,,,Chennai,2940,126,0,2,3146,151.2,20.81,,,1.2,51.43,3.0
2025-11-14,shopping,Shopping - Kidswear,Baby Jacket,,Tablet,P103,Baby Jacket,Kidswear,Delhi,999,30,5,0,0,468.71,0.0,4.6,674.0,,,
2025-11-21,search,Search - Generic,Search Ads,buy stylish jacket,Desktop,,,,Mumbai,11492,462,0,6,6348,688.38,9.22,,,1.49,59.9,5.0
2025-11-21,search,Search - Generic,Search Ads,buy running shoes,Desktop,,,,Delhi,10880,167,0,0,0,260.52,0.0,,,1.56,23.94,4.0
2025-11-27,search,Search - Generic,Search Ads,buy women's jackets,Mobile,,,,Hyderabad,4852,105,0,1,2305,109.2,21.11,,,1.04,22.51,3.0
2025-11-15,search,Search - Generic,Search Ads,buy baby clothes,Tablet,,,,Delhi,10327,532,0,0,0,1314.04,0.0,,,2.47,127.24,4.0
2025-11-14,search,Search - Generic,Search Ads,buy winter wear,Tablet,,,,Delhi,5375,261,0,4,7948,430.65,18.46,,,1.65,80.12,6.0
2025-11-20,search,Search - Generic,Search Ads,buy kids jackets,Tablet,,,,Mumbai,11076,403,0,3,1797,826.15,2.18,,,2.05,74.59,4.0
2025-11-17,search,Search - Generic,Search Ads,buy men's jackets,Mobile,,,,Mumbai,7362,277,0,1,1865,74.79,24.94,,,0.27,10.16,5.0
